inv_beta,onsite_U,x,abs_err,rel_err
0.405492,8.714286,0.921616,0.000586,0.000636
0.105444,7.071429,0.873395,0.000193,0.000221
0.315667,8.714286,0.917867,0.000283,0.000308
100.000000,10.357143,0.512969,0.000028,0.000055
15.290131,10.357143,0.583411,0.000372,0.000637
7.876555,10.357143,0.655461,0.000543,0.000828
0.236937,8.714286,0.914433,0.000468,0.000512
5.108335,10.357143,0.725407,0.000556,0.000767
3.660886,10.357143,0.786401,0.000386,0.000490
2.771026,10.357143,0.835096,0.000496,0.000594
2.168596,10.357143,0.874714,0.000483,0.000552
1.733698,10.357143,0.902440,0.000170,0.000189
1.404979,10.357143,0.922564,0.000507,0.000550
1.147784,10.357143,0.935376,0.000225,0.000240
0.167366,8.714286,0.910407,0.000432,0.000475
0.941060,10.357143,0.943850,0.000252,0.000267
0.771278,10.357143,0.947626,0.000290,0.000306
0.629347,10.357143,0.947410,0.000482,0.000509
0.049975,5.428571,0.821599,0.000102,0.000124
0.508935,10.357143,0.947771,0.000522,0.000551
0.405492,10.357143,0.945765,0.000668,0.000706
0.105444,8.714286,0.907866,0.000274,0.000302
0.315667,10.357143,0.941726,0.000544,0.000577
100.000000,12.000000,0.515239,0.000113,0.000218
15.290131,12.000000,0.596369,0.000353,0.000592
7.876555,12.000000,0.678517,0.000436,0.000642
5.108335,12.000000,0.753841,0.000275,0.000365
3.660886,12.000000,0.817936,0.000536,0.000655
0.236937,10.357143,0.937328,0.000580,0.000618
2.771026,12.000000,0.869273,0.000461,0.000531
2.168596,12.000000,0.905678,0.000394,0.000435
1.733698,12.000000,0.931088,0.000147,0.000157
1.404979,12.000000,0.946881,0.000131,0.000138
1.147784,12.000000,0.957090,0.000159,0.000166
0.167366,10.357143,0.932657,0.000335,0.000359
0.941060,12.000000,0.961294,0.000388,0.000403
0.771278,12.000000,0.963158,0.000287,0.000298
0.049975,7.071429,0.873213,0.000080,0.000091
0.629347,12.000000,0.963340,0.000242,0.000251
0.508935,12.000000,0.960989,0.000497,0.000518
0.405492,12.000000,0.959939,0.000555,0.000578
0.105444,10.357143,0.930798,0.000353,0.000380
0.315667,12.000000,0.956280,0.000676,0.000707
0.236937,12.000000,0.954078,0.000522,0.000548
0.167366,12.000000,0.948905,0.000575,0.000606
0.049975,8.714286,0.907885,0.000134,0.000148
0.105444,12.000000,0.946892,0.000136,0.000144
0.049975,10.357143,0.930318,0.000128,0.000138
0.049975,12.000000,0.947053,0.000222,0.000234
