                  20                   6                 160
                   0                   1                  23       -0.0047275307
                   0                   1                  24        0.0137825203
                   0                   1                  25        0.0143336622
                   0                   1                  26        0.0190583573
                   0                   1                  27        0.0162218439
                   0                   1                  28        0.0129109996
                   0                   1                  29        0.0058039352
                   0                   1                  30        0.0068991195
                   0                   1                  31        0.0066071555
                   0                   1                  32        0.0108069180
                   0                   1                  33        0.0011950209
                   0                   1                  34       -0.0047364013
                   0                   1                  35       -0.0016402731
                   0                   1                  36       -0.0040621326
                   0                   1                  37       -0.0134072788
                   0                   1                  38       -0.0232870567
                   0                   1                  39       -0.0237547222
                   0                   1                  40       -0.0157347649
                   0                   1                  41       -0.0132360552
                   0                   1                  42       -0.0110290157
                   0                   1                  43       -0.0090785917
                   0                   1                  44       -0.0045466604
                   0                   1                  45       -0.0060972757
                   0                   1                  46       -0.0072081656
                   0                   1                  47       -0.0031254090
                   0                   1                  48       -0.0087486211
                   0                   1                  49       -0.0080741497
                   0                   1                  50       -0.0054309587
                   0                   1                  51       -0.0037951061
                   0                   1                  52       -0.0022098341
                   0                   1                  53        0.0047449673
                   0                   1                  54        0.0049825263
                   0                   1                  55        0.0066981814
                   0                   1                  56        0.0118030492
                   0                   1                  57        0.0144375270
                   0                   1                  58        0.0054466817
                   0                   1                  59        0.0057035948
                   0                   1                  60       -0.0081367282
                   0                   1                  61        0.0013120427
                   0                   1                  62       -0.0131913707
                   0                   1                  63       -0.0061607646
                   0                   1                  64       -0.0054227443
                   0                   1                  65       -0.0055156489
                   0                   1                  66       -0.0036346089
                   0                   1                  67       -0.0032257647
                   0                   1                  68        0.0003769567
                   0                   1                  69       -0.0017900308
                   0                   1                  70       -0.0058316331
                   0                   1                  71        0.0025003827
                   0                   1                  72        0.0062731500
                   0                   1                  73        0.0091108027
                   0                   1                  74        0.0046580315
                   0                   1                  75        0.0049106691
                   0                   1                  76        0.0119643551
                   0                   1                  77        0.0212811124
                   0                   1                  78        0.0261664678
                   0                   1                  79        0.0218007158
                   0                   1                  80        0.0196328181
                   0                   1                  81        0.0144752618
                   0                   1                  82        0.0129516030
                   0                   1                  83        0.0071126862
                   0                   1                  84        0.0006659788
                   0                   1                  85       -0.0112729238
                   0                   1                  86       -0.0100195657
                   0                   1                  87       -0.0228170077
                   0                   1                  88       -0.0179520375
                   0                   1                  89       -0.0193780664
                   0                   1                  90       -0.0155836824
                   0                   1                  91       -0.0175110652
                   0                   1                  92       -0.0174904904
                   0                   1                  93       -0.0051996692
                   0                   1                  94       -0.0004272676
                   0                   1                  95       -0.0006480534
                   0                   1                  96       -0.0078504284
                   0                   1                  97        0.0078619281
                   0                   1                  98        0.0217684447
                   0                   1                  99        0.0212607895
                   0                   1                 100        0.0141492540
                   0                   1                 101        0.0286758111
                   0                   1                 102        0.0196593540
                   0                   1                 103        0.0145005847
                   0                   1                 104        0.0109778434
                   0                   1                 105        0.0149290315
                   0                   1                 106        0.0080141736
                   0                   1                 107        0.0044901311
                   0                   1                 108        0.0083363608
                   0                   1                 109        0.0148886622
                   0                   1                 110        0.0191238863
                   0                   1                 111        0.0122529264
                   0                   1                 112        0.0146477766
                   0                   1                 113        0.0226261853
                   0                   1                 114        0.0338553796
                   0                   1                 115        0.0511321419
                   0                   1                 116        0.0430068407
                   0                   1                 117        0.0517183089
                   0                   1                 118        0.0468705871
                   0                   1                 119        0.0362795085
                   0                   1                 120        0.0462504338
                   0                   1                 121        0.0451088684
                   0                   1                 122        0.0418407895
                   0                   1                 123        0.0374753117
                   0                   1                 124        0.0353415427
                   0                   1                 125        0.0415585592
                   0                   1                 126        0.0499201608
                   0                   1                 127        0.0483078487
                   0                   1                 128        0.0360574775
                   0                   1                 129        0.0377925345
                   0                   1                 130        0.0388016641
                   0                   1                 131        0.0348740668
                   0                   1                 132        0.0250863775
                   0                   1                 133        0.0519678290
                   0                   1                 134        0.0536442230
                   0                   1                 135        0.0573274667
                   0                   1                 136        0.0723684589
                   0                   1                 137        0.0796382144
                   0                   1                 138        0.0936116455
                   0                   1                 139        0.0910749894
                   0                   1                 140        0.1018480487
                   0                   1                 141        0.0974090090
                   0                   1                 142        0.1180806563
                   0                   1                 143        0.1287554587
                   0                   1                 144        0.1624403837
                   0                   1                 145        0.1850302493
                   0                   1                 146        0.2094205195
                   0                   1                 147        0.2271448756
                   0                   1                 148        0.2470991475
                   0                   1                 149        0.2901381561
                   0                   1                 150        0.2999294900
                   0                   1                 151        0.3467885502
                   0                   1                 152        0.3649523930
                   0                   1                 153        0.4095646537
                   0                   1                 154        0.4399075749
                   0                   1                 155        0.4897080383
                   0                   1                 156        0.5704914168
                   0                   1                 157        0.6275574646
                   0                   1                 158        0.7311792869
                   0                   1                 159        0.8472809021
                   0                   2                   0        0.3915854516
                   0                   2                   1        0.3300566472
                   0                   2                   2        0.2972720728
                   0                   2                   3        0.3260305648
                   0                   2                   4        0.3270949560
                   0                   2                   5        0.3030984524
                   0                   2                   6        0.2997761407
                   0                   2                   7        0.3039223705
                   0                   2                   8        0.2847014372
                   0                   2                   9        0.3093845673
                   0                   2                  10        0.2803276545
                   0                   2                  11        0.2451129473
                   0                   2                  12        0.2070305018
                   0                   2                  13        0.1884571107
                   0                   2                  14        0.1923614682
                   0                   2                  15        0.1782474896
                   0                   2                  16        0.1735144313
                   0                   2                  17        0.1757016218
                   0                   2                  18        0.1490646985
                   0                   2                  19        0.1190413547
                   0                   2                  20        0.1296288790
                   0                   2                  21        0.1235647110
                   0                   2                  22        0.1141847668
                   0                   2                  23        0.1054013100
                   0                   2                  24        0.0771730087
                   0                   2                  25        0.0845241472
                   0                   2                  26        0.0703628555
                   0                   2                  27        0.0796548400
                   0                   2                  28        0.0680484399
                   0                   2                  29        0.0515799890
                   0                   2                  30        0.0446317229
                   0                   2                  31        0.0400818588
                   0                   2                  32        0.0255241955
                   0                   2                  33        0.0377162641
                   0                   2                  34        0.0307833737
                   0                   2                  35        0.0313551952
                   0                   2                  36        0.0305662258
                   0                   2                  37        0.0158126404
                   0                   2                  38        0.0141798604
                   0                   2                  39        0.0118112390
                   0                   2                  40        0.0137568247
                   0                   2                  41        0.0044854206
                   0                   2                  42        0.0137326473
                   0                   2                  43        0.0111366456
                   0                   2                  44        0.0098094948
                   0                   2                  45        0.0163883010
                   0                   2                  46        0.0158291883
                   0                   2                  47        0.0098083380
                   0                   2                  48       -0.0070413591
                   0                   2                  49       -0.0063384432
                   0                   2                  50        0.0068386949
                   0                   2                  51        0.0062934441
                   0                   2                  52        0.0110179094
                   0                   2                  53       -0.0014282424
                   0                   2                  54        0.0003385704
                   0                   2                  55       -0.0123177208
                   0                   2                  56       -0.0323790133
                   0                   2                  57       -0.0447211374
                   0                   2                  58       -0.0372261378
                   0                   2                  59       -0.0504820677
                   0                   2                  60       -0.0410880063
                   0                   2                  61       -0.0415940436
                   0                   2                  62       -0.0443105826
                   0                   2                  63       -0.0219688341
                   0                   2                  64       -0.0158151754
                   0                   2                  65       -0.0191871591
                   0                   2                  66       -0.0338213822
                   0                   2                  67       -0.0166230197
                   0                   2                  68       -0.0060532309
                   0                   2                  69       -0.0011795085
                   0                   2                  70        0.0132189864
                   0                   2                  71        0.0149693094
                   0                   2                  72       -0.0018924539
                   0                   2                  73        0.0122356088
                   0                   2                  74       -0.0027713358
                   0                   2                  75       -0.0019243179
                   0                   2                  76       -0.0059459204
                   0                   2                  77       -0.0125198202
                   0                   2                  78       -0.0017540948
                   0                   2                  79        0.0057817088
                   0                   2                  80        0.0182351134
                   0                   2                  81        0.0167971882
                   0                   2                  82        0.0209104359
                   0                   2                  83        0.0312700049
                   0                   2                  84        0.0391910271
                   0                   2                  85        0.0417394647
                   0                   2                  86        0.0398241857
                   0                   2                  87        0.0519795577
                   0                   2                  88        0.0466155142
                   0                   2                  89        0.0517781835
                   0                   2                  90        0.0500944214
                   0                   2                  91        0.0520799128
                   0                   2                  92        0.0506104363
                   0                   2                  93        0.0460680479
                   0                   2                  94        0.0544222175
                   0                   2                  95        0.0538724455
                   0                   2                  96        0.0465633756
                   0                   2                  97        0.0638465970
                   0                   2                  98        0.0716392186
                   0                   2                  99        0.0794027869
                   0                   2                 100        0.0759237595
                   0                   2                 101        0.0782165576
                   0                   2                 102        0.0786727461
                   0                   2                 103        0.0775521618
                   0                   2                 104        0.0829347293
                   0                   2                 105        0.0718140331
                   0                   2                 106        0.0754580367
                   0                   2                 107        0.0680491697
                   0                   2                 108        0.0716689945
                   0                   2                 109        0.0741014218
                   0                   2                 110        0.0799465415
                   0                   2                 111        0.0837658072
                   0                   2                 112        0.0751353722
                   0                   2                 113        0.0826692442
                   0                   2                 114        0.0876047133
                   0                   2                 115        0.0970195710
                   0                   2                 116        0.0859432506
                   0                   2                 117        0.0849564759
                   0                   2                 118        0.0892714248
                   0                   2                 119        0.0974458993
                   0                   2                 120        0.1173776192
                   0                   2                 121        0.1074944898
                   0                   2                 122        0.1140021828
                   0                   2                 123        0.1071591182
                   0                   2                 124        0.1186066443
                   0                   2                 125        0.1159427706
                   0                   2                 126        0.1183309523
                   0                   2                 127        0.1359947838
                   0                   2                 128        0.1297894063
                   0                   2                 129        0.1283680420
                   0                   2                 130        0.1364952469
                   0                   2                 131        0.1478171024
                   0                   2                 132        0.1546857680
                   0                   2                 133        0.1527365430
                   0                   2                 134        0.1651447260
                   0                   2                 135        0.1604842756
                   0                   2                 136        0.1618971466
                   0                   2                 137        0.1667196914
                   0                   2                 138        0.1995118611
                   0                   2                 139        0.2101946815
                   0                   2                 140        0.2155849100
                   0                   2                 141        0.1941667048
                   0                   2                 142        0.2063987904
                   0                   2                 143        0.2379426882
